,,,
Relazione sulla gestione Bilancio consolidato Bi,Bilancio di Esercizio,Delibera dell,'Assemble
TABELLA 23 Rendiconto finanziario consolidato,,,
Migliaia di euro,2022,2021,
UTILE (PERDITA) DELLESERCIZIO,45.059,(37.958,
Rettificato da:,,,
Ammortamenti,111.643,105.46,
Accantonamenti al fondo rinnovo infrastrutture aeroportuali,56.964,64.66,
Oneri finanziari da attualizzazione fondi,1.646,,
Variazione altri fondi,(2.598),(4.731,
Quota dell'utile (perdita) di partecipazioni collegate contabilizzate in base al metodo,etodo del patrimonio netto,1.398,1.385
Variazione netta delle (attività) passività per imposte (anticipate) differite,24.508,(12.552,
Altri costi (ricavi) non monetari,13.586,11.799,
Variazioni del capitale circolante e altre variazioni,352.598,(214.056,
FLUSSO DI CASSA NETTO DA ATTIVITÀ OPERATIVA (A),604.804,(85.945,
Investimenti in attività materiali (%),(13.704),(12.418,
Mivesciniencl aCCW(ld(nlalenldll,72./u4),7c.+10,
Investimenti in attività immateriali,(160.567),(117.688,
Mivesciniencl aCC(v(ld (irtlacenlal,(7ou.90/),U.0oo,
Interventi di rinnovo infrastrutture aeroportuali,(41.080),(47.576,
8l UPuIcuGll,AtiUoU (0 zo€1,P),
Investimenti in partecipazioni e in quote di minoranza di società consolidate,(2.386),,
JaZlui Clu,Cjoo,,
"Investimenti in società consolidate, al netto delle disponibilità liquide nette apportat",portate,(13.451,
Realizzo da disinvestimenti e altre variazioni di attività materialiimmateriali e partec,partecipazioni,1.012,4.80
"Realizzo da disinvestimenti e altre variazioni di attività materiali, immateriali e partec",partecipazioni,1.012,4.80C
Variazione netta delle altre attività non correnti,,,
Variazione netta delle altre attività non correnti,,,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI INVESTIMENTO (B),(216.716),(186.310,
Emissione di prestiti obbligazionari,491.64,,
Rimborsi di prestiti obbligazionari,(400.001,,
Rimborsi di finanziamenti a medio-lungo termine,(17.885),(212.500,
Variazione netta delle altre passività finanziarie correnti e non correnti,(3.833),(42.050,
Variazione netta delle attività finanziarie correnti e non correnti,(3.025),(426,
FLUSSO DI CASSA NETTO DA ATTIVITÀ DI FINANZIAMENTO (C),(24.743),(163.334,
FLUSSO DI CASSA NETTO DELLESERCIZIO (A+B+C),363.345,(435.589,
Disponibilità liquide e mezzi equivalenti all'inizio dell'esercizio,661.640,1.097.229,
Disponibilità liauide e mezzi equivalenti alla fine dell'esercizio,1024 985,661.64C,
