ighlights finanziari e non finanziari 2022,,,,
Indicatori,2022,2021,AvS 2021,DS 2019
Totale passeggeri (n?),32.836.515,13.988.955,"134,7%","-33,5%"
Totale movimenti aerei (n'),254.820,151.191,"68,5%","-29,6%"
Soddisfazione dei clienti (ACI) (score),"4,55","4,59","-0,8%","1,8%"
Ricavi da gestione aeroportuale (€/mln),"643,7","296,9","116,8%","-31,6%"
Costi operativi netti (€lmln),"508,2","372,2","36,5%","-5,0%"
EBITDA (€/mln),"299,6","261,3","14,7%","~49,6% "
Utile (Perdita) dell' esercizio di competenza del gruppo (€/mln),"+45,1",-38,"-218,7%","-81,6%"
Investimenti (€/mln),"214,2","177,3","20,8%","-16,0%"
Liquidità (€/mln),"1.025,0","661,6","54,9%","104,6%"
Emissioni CO2 totali (scope 1e 2) (ton),56.386,51.680,"9,19","-10,5%"
Emissioni CO2 totali (scope 3) (ton),889.396,375.496,"136,8%","-26,4%"
Consumi di energia (GJ),822.419,719.195,14%,-9%
Percentuale di rifiuti avviati al recupero (FCO),"99,98%",99%,pp-,2 p.p.
Tasso di infortuni sul lavoro (i),"18,2","32,7","~44,4%","-52,5%"
Numero totale di dipendenti (n'),3.767,3.345,"12,6%","5,8%"
Percentuale di dipendenti donna,389,37%,1 p.p.,-2 p.p-
Valore economico distribuito (€/000),432.895,264.810,639,n.d.
