Fondo svalutazione crediti per interessi di mora,742,(10),1.732,,,
TOTALE FONDO SVALUTAZIONE CREDITI COMMERCIALI,166,119,(891),1.384),163.844,
Il decremento del fondo sva a fronte di crediti non più re,lutazione credit cuperabili.,i rispetto al 31,dicembre 2021,riflette essenzi,almente l'utiliz,zZ0 del fondo
Si rileva che il valore di bilar,cio dei crediti,ommerciali ap,prossima il rela,tivo fair value,,
Slnlleva cne [L Vatore al Ollal C 0 A++iuf+a 7 140,Iclo ael crealcl Jiuf+a Yay,ommerclall ap Lnnoo+o,orosslma [lrela Vcrronf,clvo Talr Value,,
5.8 Attività e pas,sività per,imposte,orrenti,,,
ATTIVITÀ,PASSIVI,TÀ,,,,
(migliaia di euro),31.12.2022,31.12.2021,Variazione,31.12.2022,31.12.2021,Variazione
Crediti/debiti verso Controllante per consolidato fiscale,26.439,75.555,(49.116),,,
IRES,79,79,3.660,7.320,(3.660,
IRAP,7.023,7.02,,,,
TOTALE,26.518,75.634,(49.116),10.683,7.320,3.363
