TOTALE ALTRI RICAVI OPERATIVI,20.019,20.019,231.846
,,,
decremento di 211.828 mila euro è attribuibile sostanzialment,te alla voce Contributi e sovvenz,alla voce Contributi e sovvenzi,"nzioni che, nel 2021,"
icludeva il sussidio che il Governo italiano; tramite la legge 178,"'8/2020, aveva assegnato agli ae","2020, aveva assegnato agli aere",eroporti per com -
ensare le perdite subite a causa della pandemia da COVID-19,per il periodo dal marzo 2020,ril periodo dal marzo 2020,al 30 giugno 2020;
ale decremento è solo parzialmente compensato dall'inclusion,ne nel periodo di consolidament,nel periodo di consolidamento =,"to, a partire dal"
"econdo semestre 2021 della società Leonardo Energia, a cui fa",a capo la gestione della centrale,apo la gestione della centrale,"le di cogenerazione,"
he nel 2022 ha incrementato 0 proventi da cessione alla rete,dell'energia elettrica prodotta,Ll'energia elettrica prodotta da,dalla centrale
2 Consumo di materie prime e materia,li di consumo,di consumo,
(migliaia di euro),2022,2022,2021
Carburante e lubrificanti,1.704,1.704,1.025
Energia elettrica; gas e acqua,29.978,29.978,10.832
Materiali di consumo; ricambi e materiali vari,4.071,4.071,6.39
TOTALE CONSUMO DIMATERIE PRIME E MATERIALLDI CONSUMO,35 753,35 753,18 255
