(migliaia di euro),"Incremento dell'1,0%","Decremento dell'1,0%","Incremento del 0,25%","Decremento del 0,25%"
Tasso annuo di turnover,8.540,8.509,,
Tasso di inflazione,8.586,8.465,,
Tasso di attualizzazione,8.430,8.623,,
La durata media ponde,ata delle obbligazioni pe,piani a benefici defin,iti per i dipendenti alla,fine dell'esercizio è di
6 anni e il service cost,revisto per il 2023 è pari,1 zero,,
Le erogazioni previste,er il prossimo quinquenn,0 sono le seguenti:,,
(migliaia di euro),,,,
1 anno,89,,,
2' anno,813,,,
3' anno,99,,,
4' anno,,,,
,,,,
