Dalazione cullaaocfiona Bilancio concolidato,Bilancio concolidato,Bilancio diFcercizio,'cizio Delihera dell'A ccembl
Relazlone sulla gestlone Bllanclo consollaato,Bllanclo consollaato,Bllanclo al Esercizlo,clzIO Dellpera aeltAssemole
L'evoluzione dello scenario di mercato evidenzia un,nercato evidenzia un,"dell'anno, prospetta; rispe","a, rispetto al precedente esercizio"
outlook tendenzialmente positivo per il 2023 ed un,tivo per il 2023 ed un,un'attesa di migliorament,ramento della marginalità operati
andamento del business che gradualmente si avvicina,radualmente si avvicina,va; che tuttavia potrà ess,trà essere fortemente condizionata
ai livelli pre-pandemia. Oltre alla ripresa già in atto sul,lla ripresa già in atto sul,dall'andamento del conte,[contesto macroeconomico e dalla
segmento del Breve/Medio Raggio; grazie soprattutto,Jgio; grazie soprattutto,recente congiuntura infla,ra inflattiva; che potrebbe impat -
"al pieno ritorno della domanda sul mercato UE, da","sul mercato UE, è da",tare la propensione al cor,2 al consumo oltre che la dinamica
evidenziare un'offerta record per la prossima stagione,er la prossima stagione,dei costi operativi; con pa,con particolare riferimento ai prez
IATA Summer 2023 per il Nord America; verso il quale,America; verso il quale,dell'energia ancora marcz,marcatamente dilatati.
sono state pianificate fino a 34 partenze al giorno nel,partenze al giorno nel,In un contesto ancora cor,ora complesso; il Gruppo continua
"tuttora in corso. Più in generale, è opportuno sottoli -",e opportuno sottoli -,A tal riguardo continueret,inueremo ad operare perseguendo
traffico; sia in positivo; con riferimento alla possibile,erimento alla possibile,sostenibile di lungo terms,0 termine del sistema aeroportuale
accelerazione della riapertura del mercato cinese; sia,del mercato cinese; sia,della Capitale; in una logi,na logica di valore condiviso che
sibili evoluzioni del conflitto russo-ucraino,ssO-ucraino,più in generale; tutti i nos,ti i nostri stakeholder.
Questo quadro di crescita; ove confermato nel corso,confermato nel corso,,
