odice della Navigazione.,,,
Jlteriori norme contenute nel Contratto di Programm,tribuiscono alla definizione,uiscono alla definizione dell'in,quadramento giuri -
"lico dei beni (per es., art. 20-bis) che, seppur condizioi",lalla rilevanza del principio d,a rilevanza del principio di corr,relazione all'uso per
esercizio di attività regolamentate 0 alternativament,nmerciali (non regolamentate,"erciali (non regolamentate), no",n differisce in modc
ignificativo dal regime preesistente: In particolare:,,,
beni ricevuti in concessione all'atto della costitu,della Società concessionaria,lla Società concessionaria 0 suc,ccessivamente dalla
stessa realizzati in forza di leggi dello Stato con fi,"amenti pubblici, sono possedi","enti pubblici, sono posseduti d",alla concessionaria
stessa in regime di diritto duso in quanto apparte,al demanio dello Stato; tali be,demanio dello Stato; tali beni s,ono riepilogati nella
seguente tabella:,,,
(migliaia di euro),31.12.2022,31.12.2022,31.12.2021
Beni ricevuti in concessione presso Fiumicino,119.812,119.812,119.81
Beni ricevuti in concessione presso Ciampino,29.293,29.293,29.29
Beni realizzati per conto dello Stato (*),742.197,742.197,742.19
TOTALE,891.302,891.302,891.30
