"Le Attività commerciali, pari a 214.068 mila euro (192.202 mil","euro al 31 dicembre 2021),",comprendono,
rimanenze; pari a 5.801 mila euro (6.500 mila euro al 31,"cembre 2021), costituite",ssenzialmente,da materiali
"di consumo; vestiario; ricambi, materiali di pulizia; carb","anti, materiale telefonice",", sistemi di tel",ecomunicazic
ne e materiali per l'edilizia;,,,
attività per lavori in corso su ordinazione; pari a 322 mil,euro (1.105 euro al 31 dicer,mbre 2021) cos,tituite dai
lavori in corso verso terzi di ADR Infrastrutture;,,,
"crediti commerciali, pari a 207.945 mila euro (184.597 m",euro al 31 dicembre 2021,1),
In dettaglio i crediti commerciali presentano la seguente co,posizione:,,
(migliaia di euro),31.12.2022,31.12.2021,VARIAZIONE
Crediti verso clienti,367.602,346.980,20.62
Crediti verso impresa controllante,19,131,
Altri crediti commerciali,4.503,4.004,
"Totale crediti commerciali, al lordo del fondo svalutazione",372.124,351.115,21.00
Fondo svalutazione crediti,(162.447),(164.775),2.32
Fondo svalutazione crediti per interessi di mora,(1.732),(1.743),
Totale fondo svalutazione crediti,(164.179),(166.518),2.33
TOTALE CREDITI COMMERCIALI,207.945,184.597,23.34
