quota corrente,99,,
Isciplinato dall'art. 2120 del Codice Civile; che acc,glie la stima dell'obbligazione; determins,ma dell'obbligazione; determinat,ta sulla base di tecniche
tuariali; relativa all'ammontare da corrispondere,i dipendenti di ADR all'atto della cessaz,nti di ADR allatto della cessazioi,ne del rapporto di lavors
Idecremento del fondo di 882 mila euro riflette,'effetto del risultato attuariale rilevato,el risultato attuariale rilevato,ell'esercizio e la liquid:
lone del TFR in favore dei dipendenti usciti nell',nno.,,
riepilogano di seguito le principali assunzioni,ffettuate per il processo di stima attua,per il processo di stima attuaria,lale del fondo TFR al 31
Fcpiluyaru Ul Bcyullu [C Piiicpall aabuniltuii Icembre 2022:,FclcualCPCi PIuCC9u Ul acunia acud,PCI PIuCCsbuUl aclinia aucuai,alC UCUiunuu 11r al 01
otesi finanziarie,31.12.2022,31.12.2022,31.12.2021
asso di attualizzazione,"3,6%","3,6%","0,4"
lasso di inflazione,"2,3%","2,3%","1,8"
Jasso annuo di incremento del TFR,"2,7%","2,7%","2,3"
Jasso annuo di incremento salariale,"2,4%","2,4%","3,1"
lasso annuo di turnover,"2,19","2,19","1,7"
lasso annuo di erogazione anticipazioni,"0,7%","0,7%","0,5"
