secondo le attività di business portate avanti nel,
"In'attività economica si definisce ammissibile quando descritta negli allegati l e Il dell'Atto Delegato sul lima, a prescindere dal fatto che tale attività soddisfi meno i criteri di vaglio tecnico; non arrechi danno ignificativo agli altri obiettivi ambientali e rispetti le aranzie minime di salvaguardia; come stabilito dagli tti delegati stessi.",corso del 2022 e alla luce di alcuni chiarimenti nor- mativi pubblicati nel corso dell'anno. Con riferimento all'allegato relativo all'obiettivo di mitigazione del cambiamento climatico; il perimetro di ammissibilità comprende nove attività economiche previste dalla normativa relative all'ambito dell'energia; della forni - tura di acqua; reti fognarie e trattamento dei rifiuti; dei trasporti e infine dell'edilizia.
ABELLA 55 Lista delle attività economiche ammissibili e rela,iva descrizione delle attività svolte da ADR
Ittività economiche,Descrizione delle attività svolte dal ADR
clv(ca economcne 4 9 Trasmissione distrihuzione dienergia elettrica,Descrzione Gelle aeciv(ca svolleUalADk Gestione dei sistemi di trasmissione e distribuzione che trasportano eneraia elettrica all'interno deali edifici di Grunno esercitala cui
4.15. Distribuzione del teleriscaldamento/teleraffrescamento,Gestione dell'infrastruttura per la distribuzione del teleriscaldamento e teleraffrescamento negli edifici di cui il Gruppo esercita la proprietà.
"5.1. Costruzione; espansione e gestione di sistemi di raccolta, trattamento fornitura di acqua","Gestione del sistema di raccolta, trattamento fornitura di acqua potabile degli edifici di cui il Gruppo esercita la proprietà."
5.3. Costruzione esu pansione e gestione di sistemi di raccolta e trattamento delle acque reflue,Gestione e trattamento del sistema di acque reflue degli edifici di cui il Gruppo esercita la proprietà.
5.5. Raccolta e trasporto di rifiuti non pericolosi in frazioni separate alla fonte,Gestione del sistema di raccolta differenziata dei rifiuti connessi agli edifici di cui il Gruppo esercita la proprietà
6.3 Trasporto urbano e suburbano; trasporto di passeggeri su strada,Gestione del servizio di shuttle che collega le strutture alberghiere con l'aeroporto di Fiumicino.
6.15. Infrastrutture che consentono il trasporto su strada e il trasporto pubblico a basse emissioni di carbonio,"Gestione dell'infrastruttura adibita al trasporto su strada a zero emissioni di CO nel quale vengono considerati servizi taxi, NCC car rental e car sharing elettrici; dell'infrastruttura necessaria per il trasporto pubblico de bus che collegano l'aeroporto con la città; dell'infrastruttura per il carico; lo scarico e il trasbordo di beni."
6.17.Infrastrutture aeroportuali a basse emissioni di carbonio,Manutenzione gestione dell'infrastruttura che consente la fornitura di energia elettrica aria precondizionata agli aeromobili in sosta dove le emissioni di CO2 sono pari a zero. Sono escluse le attività derivanti da infrastrutture aeroportuali in quanto non a zero emissioni di COz:
7.7. Acquisto e proprietà di edifici,Esercizio della proprietà degli edifici in cui vengono affittati degli spazi commerciali Retail Real Fstate aestione delle onerazioniaeronortua
