TOTALE DISPONIBILITÀ LIQUIDE E MEZZI EQUIVALENTI,1.024.985,661.640,363.345
Disponibilità liquide e mezzi equivalenti si incrementano di 3,3.345 mila euro rispett,0 al 31 dicembr,e 2021 per
fetto del flusso monetario positivo delle attività operative; pa,ialmente compensate,dai flussi mon,etari negativ
gli investimenti e delle attività di finanziamento dell'esercizie,,,
r la disamina della riserva di liquidità del Gruppo si rinvia alla,ota 9.3.,,
11 Patrimonio netto,,,
Ymigliaia di euro),31.12.2022,31.12.2021,VARIAZIONE
capitale sociale,62.225,62.225,
Riserva legale,12.462,12.462,
Riserva sovrapprezzo azioni,667.389,667.389,
Riserva da valutazione strumenti finanziari derivati di cash flow hedge,5.143,(76.487),81.63C
Riserva valutazione partecipazioni con il metodo del patrimonio netto,204,230,(26
Riserva da utili (perdite) da valutazione al fair value di partecipazioni,(40.611),(40.611),
Altre riserve e utili portati a nuovo,344.306,379.798,(35.492
Utile (perdita) dell'esercizio,45.059,(38.035),83.09
fTotale Patrimonio Netto di Pertinenza del Gruppo,1.096.177,966.971,129.206
capitale Sociale e Riserve,2.718,(2.718,
Utile (perdita) dell'esercizio,,,
Patrimonio Netto di Pertinenza di Terzi,2.795,(2.795,
TOTALE PATRIMONIO NETTO,1.096.177,969.776,126.41
